PROPUESTA PERIODO: ENERO-MAYO 2025,,,,,,CONSIDERACIONES ,,HORARIO,,,,,
MODALIDAD ,ASIGNATURAS,CREDITOS ,GRUPO,SALA,DOCENTE,DINAMICA,NOTAS ,LUNES ,MARTES ,MIERCOLES ,JUEVES,VIERNES,SABADO 
OBLIGATORIA ,Psicología de las organizaciones y el trabajo ,5 ,B,9/plataforma,THELMA C.,Lunes presencial y sábado en plataforma (sin sesión directa),Ningún antecedente,12:00-14:00,,,,,15:00-17:00
OBLIGATORIA ,Psicología de las organizaciones y el trabajo ,5 ,C,15/plataforma ,THELMA C.,Miércoles presencial y viernes en plataforma (sin sesión directa),Ningún antecedente,,,12:00-14:00,,6:00-8:00,
OBLIGATORIA ,Psicología de las organizaciones y el trabajo ,5 ,D,6/plataforma,THELMA C.,Lunes presencial y viernes en plataforma (sin sesión directa),Ningún antecedente,10:00- 12:00,,,,19:00-21:00,
OBLIGATORIA ,Técnicas de entrevista en diferentes contextos ,5 ,A,9,PAULINO D.,Miércoles y viernes presencial,1 antecedente: Habilidades clínicas básicas,,,12:00-14:00,,12:00-14:00,
OBLIGATORIA ,Técnicas de entrevista en diferentes contextos ,,B,10,ROSA I.,Lunes y miércoles presencial,1 antecedente: Habilidades clínicas básicas,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Técnicas de entrevista en diferentes contextos ,,C,6,AURORA S.,Martes y jueves presencial,1 antecedente: Habilidades clínicas básicas,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Procesos neurológicos del comportamiento ,6 ,A,5,ARLETTE C.,Viernes presencial de corrido,1 antecedente: Psicofisiología,,,,,12:00-16:00,
OBLIGATORIA ,Procesos neurológicos del comportamiento ,6 ,B,10,ANA C.,Martes presencial y jueves online,1 antecedente: Psicofisiología,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Procesos neurológicos del comportamiento ,6 ,C,6,GABY M.,Lunes y miércoles presencial,1 antecedente: Psicofisiología,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Procesos neurológicos del comportamiento ,6 ,D,9,INGRID R.,Martes y jueves presencial,1 antecedente: Psicofisiología,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Procesos psicosociales grupales ,6 ,A,6,MA. JOSE D. L.,Martes y jueves presencial,Ningún antecedente,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Procesos psicosociales grupales ,6 ,B,17,MA. JOSE D. L.,Martes y jueves presencial,Ningún antecedente,,12:00-14:00,,12:00-14:00,,
OBLIGATORIA ,Procesos psicosociales grupales ,6 ,C,9,MA. JOSE D. L.,Martes y jueves presencial,Ningún antecedente,,14:00-16:00,,14:00-16:00,,
OBLIGATORIA ,Procesos psicosociales grupales ,6 ,D,15,MA. JOSE D. L.,Martes y jueves presencial,Ningún antecedente,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Manejo de diseños y herramientas de investigación ,,A,7,LOURDES C.,Martes y jueves presencial,1 antecedente: Desarrollo del pensamiento científico,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Manejo de diseños y herramientas de investigación ,,B,10,LOURDES P.,Martes y jueves presencial,1 antecedente: Desarrollo del pensamiento científico,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Manejo de diseños y herramientas de investigación ,,C,12,YANNING C.,Martes y jueves presencial,1 antecedente: Desarrollo del pensamiento científico,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Manejo de diseños y herramientas de investigación ,6 ,X,(SUM),CONCHY C.,Martes y jueves presencial,1 antecedente: Desarrollo del pensamiento científico,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Modelos y técnicas de intervención educativa ,12,A,11/CAMPO,VANESSA E. ,"***Lunes, miércoles y viernes presencial según el lugar donde sean convocados 
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato",1 antecedente: Procesos de enseñanza y aprendizaje,8:00- 11:00,,8:00- 11:00,,8:00- 11:00,
OBLIGATORIA ,Modelos y técnicas de intervención educativa ,12,B,SUM/CAMPO,YANNING C.,"***Lunes, miércoles y viernes presencial según el lugar donde sean convocados 
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato",1 antecedente: Procesos de enseñanza y aprendizaje,8:00- 11:00,,8:00- 11:00,,8:00- 11:00,
OBLIGATORIA ,Modelos y técnicas de intervención educativa ,12,C,SUM/CAMPO,ROXANA C.,"***Lunes, miércoles y viernes presencial según el lugar donde sean convocados 
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato",1 antecedente: Procesos de enseñanza y aprendizaje,8:00- 11:00,,8:00- 11:00,,8:00- 11:00,
OBLIGATORIA ,Modelos y técnicas de intervención educativa ,12,D,SUM/CAMPO,ZENDY P.,"***Lunes, miércoles y viernes presencial según el lugar donde sean convocados 
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato",1 antecedente: Procesos de enseñanza y aprendizaje,8:00- 11:00,,8:00- 11:00,,8:00- 11:00,
OBLIGATORIA ,Modelos y técnicas de intervención educativa ,12,E,SUM/CAMPO,BETZAIDA,"***Lunes, miércoles y viernes presencial según el lugar donde sean convocados 
Importante considerar tiempo de traslado y NO cargar asignaturas de horario inmediato",1 antecedente: Procesos de enseñanza y aprendizaje,8:00- 11:00,,8:00- 11:00,,8:00- 11:00,
OBLIGATORIA ,Prácticas de inclusión en diferentes ámbitos ,5 ,A,15/online,REBELIN E.,Lunes presencial y jueves online,1 antecedente: Introducción a la psicología,8:00-10:00,,,8:00-10:00,,
OBLIGATORIA ,Prácticas de inclusión en diferentes ámbitos ,5,B,12/online,REBELIN E.,Lunes presencial y jueves online,1 antecedente: Introducción a la psicología,10:00-12:00,,,10:00-12:00,,
OBLIGATORIA ,Prácticas de inclusión en diferentes ámbitos ,5,C,12/online,REBELIN E.,Lunes presencial y jueves online,1 antecedente: Introducción a la psicología,12:00-14:00,,,12:00-14:00,,
OBLIGATORIA ,Prácticas de inclusión en diferentes ámbitos ,5,D,13/online,NANCY E.,Martes presencial y jueves online,1 antecedente: Introducción a la psicología,,8:00-10:00,,8:00-10:00,,
OBLIGATORIA ,Prácticas de inclusión en diferentes ámbitos ,5,E,7/online,NANCY E.,Martes presencial y jueves online,1 antecedente: Introducción a la psicología,,10:00-12:00,,10:00-12:00,,
OBLIGATORIA ,Ética del psicólogo y responsabilidad social ,5 ,A,9/plataforma,CLAUDIA G.,Viernes presencial  y lunes trabajo en plataforma (sin sesión directa),1 antecedente: Introducción a la psicología,17:00- 19:00,,,,10:00-12:00,
OBLIGATORIA ,Ética del psicólogo y responsabilidad social ,5 ,B,16/plataforma,CLAUDIA G.,Jueves presencial y viernes trabajo en plataforma (sin sesión directa),1 antecedente: Introducción a la psicología,,,,10:00-12:00,17:00-19:00,
OBLIGATORIA ,Ética del psicólogo y responsabilidad social ,5 ,C,9/plataforma,ANAYANCY S.,Lunes presencial y viernes en plataforma (sin sesión directa),1 antecedente: Introducción a la psicología,14:00- 16:00,,,,17:00-19:00,
OBLIGATORIA ,Ética del psicólogo y responsabilidad social ,5 ,D,6/plataforma,ANAYANCY S.,Viernes presencial  y lunes trabajo en plataforma (sin sesión directa),1 antecedente: Introducción a la psicología,17:00- 19:00,,,,12:00-14:00,
